id,Title,link
0,Illusive Perceptions,https://illusiveperceptions.wordpress.com
1,The weight-loss struggle,https://illusiveperceptions.wordpress.com/2023/04/13/the-weight-loss-struggle/
2,Jack of all trades ?,https://illusiveperceptions.wordpress.com/2023/04/13/jack-of-all-trades/
3,How I met your mother,https://illusiveperceptions.wordpress.com/2023/04/10/how-i-met-your-mother/
4,Living up to full potential !!,https://illusiveperceptions.wordpress.com/2023/03/31/living-up-to-full-potential/
5,Letting it go!!,https://illusiveperceptions.wordpress.com/2023/03/30/letting-it-go/
6,The convenient bias,https://illusiveperceptions.wordpress.com/2023/03/28/the-convenient-bias/
7,‘Love’ as I see it,https://illusiveperceptions.wordpress.com/2021/02/03/love-as-i-see-it/
8,Using Open SSH for windows,https://illusiveperceptions.wordpress.com/2021/02/03/using-open-ssh-for-windows/
9,Stop hating yourself,https://illusiveperceptions.wordpress.com/2021/02/03/stop-hating-yourself/
10,Change in life because of jio,https://illusiveperceptions.wordpress.com/2021/02/03/change-in-life-because-of-jio/
11,Illusive Perceptions,https://illusiveperceptions.wordpress.com
